a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,1,541,2541,25,0,2,ch_marksman_type99lmg_1,CHALLENGE_TYPE99LMG_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS_1_OF_2,100,CHALLENGE_UNLOCK_BIPOD,,type99lmg bipod,a,1
2,,,2541,75,25,2,ch_marksman_type99lmg_2,CHALLENGE_TYPE99LMG_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS_2_OF_2,500,CHALLENGE_UNLOCK_BAYONET,,type99lmg bayonet,,1
3,2,542,2542,25,0,3,ch_expert_type99lmg_1,CHALLENGE_TYPE99LMG_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,a,1
4,,,2542,75,25,3,ch_expert_type99lmg_2,CHALLENGE_TYPE99LMG_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
5,,,2542,150,75,3,ch_expert_type99lmg_3,CHALLENGE_TYPE99LMG_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
6,9,543,2543,25,0,2,ch_marksman_fg42_1,CHALLENGE_FG42_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS_1_OF_2,100,CHALLENGE_UNLOCK_BIPOD,,fg42 bipod,,1
7,,,2543,75,25,2,ch_marksman_fg42_2,CHALLENGE_FG42_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS_2_OF_2,500,CHALLENGE_UNLOCK_TELESCOPIC_SCOPE,,fg42 telescopic,,1
8,10,544,2544,25,0,3,ch_expert_fg42_1,CHALLENGE_FG42_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,,1
9,,,2544,75,25,3,ch_expert_fg42_2,CHALLENGE_FG42_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
10,,,2544,150,75,3,ch_expert_fg42_3,CHALLENGE_FG42_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
11,11,545,2545,25,0,1,ch_marksman_30cal,CHALLENGE_30CAL_MARKSMAN,CHALLENGE_GET_25_KILLS_WITH_THIS_1,100,CHALLENGE_UNLOCK_BIPOD,,30cal bipod,,1
12,12,546,2546,25,0,3,ch_expert_30cal_1,CHALLENGE_30CAL_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,,1
13,,,2546,75,25,3,ch_expert_30cal_2,CHALLENGE_30CAL_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
14,,,2546,150,75,3,ch_expert_30cal_3,CHALLENGE_30CAL_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
15,7,547,2547,25,0,1,ch_marksman_mg42,CHALLENGE_MG42_MARKSMAN,CHALLENGE_GET_25_KILLS_WITH_THIS_1,100,CHALLENGE_UNLOCK_BIPOD,,mg42 bipod,,1
16,8,548,2548,25,0,3,ch_expert_mg42_1,CHALLENGE_MG42_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,,1
17,,,2548,75,25,3,ch_expert_mg42_2,CHALLENGE_MG42_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
18,,,2548,150,75,3,ch_expert_mg42_3,CHALLENGE_MG42_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
19,5,549,2549,25,0,1,ch_marksman_dp28,CHALLENGE_DP28_MARKSMAN,CHALLENGE_GET_25_KILLS_WITH_THIS_1,100,CHALLENGE_UNLOCK_BIPOD,,dp28 bipod,,1
20,6,550,2550,25,0,3,ch_expert_dp28_1,CHALLENGE_DP28_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,,1
21,,,2550,75,25,3,ch_expert_dp28_2,CHALLENGE_DP28_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
22,,,2550,150,75,3,ch_expert_dp28_3,CHALLENGE_DP28_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
23,3,551,2551,25,0,1,ch_marksman_bar,CHALLENGE_BAR_MARKSMAN,CHALLENGE_GET_25_KILLS_WITH_THIS_1,100,CHALLENGE_UNLOCK_BIPOD,,bar bipod,a,1
24,4,552,2552,25,0,3,ch_expert_bar_1,CHALLENGE_BAR_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,a,1
25,,,2552,75,25,3,ch_expert_bar_2,CHALLENGE_BAR_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
26,,,2552,150,75,3,ch_expert_bar_3,CHALLENGE_BAR_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1